block_size,embedding_dim,model_label,train_loss,test_loss,train_acc,test_acc,valid_count,valid_rate,unique_count,unique_rate,avg_token_len,avg_valid_token_len,examples,model_path
3,4,"bs=3, emb=4",1.333604097366333,1.367384910583496,0.5294805765151978,0.5175911784172058,100,1.0,100,1.0,6.5,6.5,蒋岚月、翁澈、官于宁、辛晴言、蔡莫李、璃承宁、闻南、田云齐,
4,3,"bs=4, emb=3",1.3329994678497314,1.3719624280929565,0.5317927598953247,0.5194258689880371,100,1.0,100,1.0,6.74,6.74,蒋岚月、翁成渊、马韵起、沈尹、蔡墨黎、李承宁、闻沧远、曹晴席,
4,2,"bs=4, emb=2",1.339411735534668,1.3770357370376587,0.5311609506607056,0.5184545516967773,100,1.0,100,1.0,6.64,6.64,蒋岚月、翁澈、官姚光、辛晴言、蔡莫李、璃承宁、闻沧澜、崔晴轩,
5,3,"bs=5, emb=3",1.3289765119552612,1.3786202669143677,0.5345754623413086,0.5151090025901794,100,1.0,100,1.0,6.74,6.74,蒋岚月、翁澈、官于衡、辛晴言、蔡莫李、璃承宁、闻沧澜、曹晴轩,
5,2,"bs=5, emb=2",1.3398191928863525,1.3787857294082642,0.5317927598953247,0.5196416974067688,100,1.0,100,1.0,6.74,6.74,蒋岚月、翁澈、官于衡、辛晴言、蔡莫李、璃承宁、闻宁微、曹晴席,
3,2,"bs=3, emb=2",1.3425493240356445,1.3669325113296509,0.5288084149360657,0.5194258689880371,99,0.99,99,1.0,6.67,6.696969696969697,蒋岚月、翁澈、官于衡、辛晴言、蔡听澜、璃承宁、闻南、田云齐,
3,3,"bs=3, emb=3",1.3362573385238647,1.3677854537963867,0.5290369391441345,0.5199654698371887,99,0.99,99,1.0,6.73,6.757575757575758,蒋岚月、翁澈、官于宁、辛晴言、蔡莫李、璃承宁、闻于文、曹晴轩,
4,4,"bs=4, emb=4",1.3282077312469482,1.3729223012924194,0.5322901606559753,0.5179149508476257,99,0.99,99,1.0,6.74,6.737373737373737,蒋岚月、翁初、官于宁、辛晴言、蔡莫李、璃承宁、闻南、田云齐,
5,4,"bs=5, emb=4",1.3232115507125854,1.384625792503357,0.5362961888313293,0.5153248310089111,99,0.99,99,1.0,6.64,6.636363636363637,蒋岚月、翁澈、官于衡、辛晴言、蔡莫李、璃承宁、闻宁、田云齐,
